CustomerID,Age,Salary,City
101,34,85000,Chennai
102,45,120000,Bangalore
103,29,65000,Hyderabad
104,38,98000,Pune
105,41,150000,Mumbai
106,27,58000,Coimbatore
107,36,91000,Delhi
108,31,72000,Kolkata
109,48,175000,Noida
110,26,52000,Kochi
111,39,110000,Ahmedabad
112,44,138000,Jaipur
113,33,76000,Chennai
114,30,68000,Bangalore
115,50,185000,Mumbai
116,42,142000,Hyderabad
117,28,61000,Pune
118,35,89000,Delhi
119,46,165000,Noida
120,37,97000,Kolkata
121,32,73000,Coimbatore
122,43,132000,Ahmedabad
123,40,126000,Jaipur
124,27,56000,Chennai
125,31,71000,Bangalore
126,49,178000,Mumbai
127,36,94000,Hyderabad
128,38,101000,Pune
129,29,64000,Delhi
130,45,152000,Noida
131,34,86000,Kolkata
132,41,129000,Kochi
133,28,60000,Ahmedabad
134,39,115000,Jaipur
135,47,168000,Mumbai
136,30,70000,Chennai
137,33,81000,Bangalore
138,44,140000,Hyderabad
139,26,54000,Pune
140,37,99000,Delhi
141,48,172000,Noida
142,35,93000,Kolkata
143,29,66000,Coimbatore
144,40,121000,Ahmedabad
145,43,136000,Jaipur
146,31,74000,Chennai
147,38,103000,Bangalore
148,27,59000,Mumbai
149,46,162000,Hyderabad
150,36,95000,Pune
151,32,78000,Delhi
152,45,148000,Noida
153,41,133000,Kolkata
154,28,62000,Kochi
155,39,117000,Ahmedabad
156,34,87000,Jaipur
157,50,190000,Mumbai
158,30,69000,Chennai
159,35,92000,Bangalore
160,42,145000,Hyderabad
161,27,57000,Pune
162,37,98000,Delhi
163,49,180000,Noida
164,31,75000,Kolkata
165,33,80000,Coimbatore
166,44,141000,Ahmedabad
167,40,125000,Jaipur
168,29,65000,Chennai
169,38,102000,Bangalore
170,46,166000,Mumbai
171,36,94000,Hyderabad
172,28,61000,Pune
173,43,134000,Delhi
174,32,77000,Noida
175,39,118000,Kolkata
176,47,170000,Kochi
177,30,70000,Ahmedabad
178,35,91000,Jaipur
179,41,130000,Mumbai
180,26,53000,Chennai
181,34,85000,Bangalore
182,45,151000,Hyderabad
183,37,97000,Pune
184,29,64000,Delhi
185,48,176000,Noida
186,33,82000,Kolkata
187,40,123000,Coimbatore
188,42,139000,Ahmedabad
189,31,73000,Jaipur
190,36,90000,Chennai
191,44,143000,Bangalore
192,27,58000,Mumbai
193,39,116000,Hyderabad
194,35,93000,Pune
195,46,164000,Delhi
196,32,76000,Noida
197,41,128000,Kolkata
198,28,60000,Kochi
199,38,104000,Ahmedabad
200,50,195000,Mumbai
